mean	stdev	OPN	EXT	CSN	EST	AGR
0.234456	0.423658	0.0995055	0.0201424	0.000938153	-0.0296216	0.000543111
0.171698	0.377118	0.0205447	0.0495553	-0.0905521	-0.0127417	0.0547018
0.0935764	0.291239	0.0793245	0.0242299	-0.0659948	0.085038	0.060683
0.219925	0.414196	0.0768586	0.0411972	-0.118212	0.0803193	0.11245
0.239721	0.426913	-0.00839062	0.0368697	-0.0582623	-0.0599725	0.0407028
0.160997	0.367528	0.0695384	-0.00337461	0.0469679	-0.0334213	-0.0226962
0.210755	0.407845	-0.0803648	-0.0129321	0.0496977	-0.0465702	-0.053967
0.160294	0.366878	-0.0591184	-0.0709724	0.0965459	0.0638107	-0.0922314
0.0424961	0.201718	-0.0144533	-0.0333437	0.0870622	0.0514859	-0.0121884
0.0933942	0.290984	-0.0611925	-0.00948329	0.0841483	-0.0107856	-0.0289684
0.224259	0.417093	0.0437163	-0.00822227	0.0989382	-0.0329127	-0.0403022
0.364924	0.481409	-0.0595389	0.0307819	-0.058365	-0.072534	0.00571873
0.265987	0.441858	0.0690025	-0.00365104	-0.12718	0.093202	0.0556937
0.231594	0.421851	0.0455752	0.0690912	-0.115726	0.0910335	0.0938598
0.270031	0.443976	-0.0474006	0.0417944	-0.0488535	-0.0586309	0.0145137
0.311483	0.4631	0.0891353	-0.036443	0.0778815	-0.0413351	-0.0540128
0.130717	0.33709	-0.097701	-0.0487155	0.058551	-0.0161369	-0.0429953
0.0464012	0.210352	-0.0353805	-0.0669035	0.0649294	0.0566712	-0.0323183
0.109785	0.312621	-0.064466	-0.0685186	0.109526	0.0531246	-0.0163323
0.190427	0.392638	-0.0928423	-0.0199058	0.0690484	-0.033746	-0.0318206
0.2269	0.418827	0.0615983	0.00183465	0.0441294	-0.0368552	-0.0268417
0.294978	0.456033	-0.0087367	0.0484564	-0.0916701	-0.0501037	0.0284563
0.168765	0.374544	0.0909573	0.0175556	-0.103884	0.0925118	0.0415623
0.0265753	0.160839	-0.00597737	-0.0463738	0.0662033	0.046396	-0.00207411
0.0946411	0.292719	-0.0598494	-0.0290608	0.0665585	-0.0161495	-0.0304131
0.312595	0.463551	0.0929543	-0.0361581	0.0862953	-0.0555203	-0.0433736
0.348686	0.476554	-0.0579196	0.052215	-0.0769317	-0.0511279	0.0218634
0.207181	0.405286	0.00540329	0.0199493	-0.0850521	0.116287	0.0458287
0.0432219	0.203356	0.0716761	-0.047506	0.0490748	0.0357588	0.00386006
0.100908	0.301207	0.0646167	-0.0248214	0.0260887	-0.0301912	-0.00484109
0.247564	0.431597	0.146798	-0.0158654	0.0194073	-0.0340887	-0.011097
0.326951	0.469099	-0.0703243	0.02604	-0.0429069	-0.0454764	0.00210056
0.270537	0.444237	-0.146637	0.0269101	-0.0157115	0.0846067	0.00993527
0.374277	0.483936	-0.153984	0.0478923	-0.0277949	0.102602	0.0440965
0.312801	0.463634	-0.0201149	0.0239214	-0.029744	-0.0813028	-0.0117048
0.183372	0.386971	0.159194	-0.0363364	0.0463244	-0.0359717	-0.0255046
0.087414	0.282441	0.0430558	-0.0359532	0.00840537	-0.022657	-0.0161429
0.0345273	0.182579	0.0521261	-0.053103	0.0337924	0.0449616	-0.00929983
0.0232661	0.150747	0.03895	-0.0320283	0.029352	0.03259	0.0418812
0.0715425	0.257729	0.0313172	-0.0131882	0.00441375	-0.0257113	0.0453086
0.171841	0.377242	0.14066	-0.0102031	0.0287996	-0.0443828	0.0328255
0.309436	0.462261	-0.0231537	0.0282474	-0.0178532	-0.0819416	0.00923303
0.414685	0.492668	-0.115541	-0.00172011	-0.0185137	0.11388	-0.0705575
0.407429	0.491356	-0.141911	0.0317906	-0.0405165	0.103449	0.000166349
0.297292	0.457066	-0.0155062	0.0210362	-0.0210127	-0.0877077	-0.0101339
0.186217	0.389282	0.159133	-0.0338074	0.048672	-0.0352739	-0.00645391
0.0680126	0.251768	0.0268591	-0.0187979	0.0143222	-0.0222218	0.0165307
0.0327328	0.177937	0.041524	-0.0395381	0.0341482	0.0470624	0.0145002
0.0160488	0.125663	0.0293854	-0.0638698	0.0351003	0.032642	0.0112609
0.0584828	0.234654	0.0250602	-0.063411	0.00727443	-0.0213836	-0.00100117
0.268921	0.443399	0.141983	-0.0514606	0.0121426	-0.0612052	-0.0125395
0.389659	0.487673	-0.0703939	0.0586903	-0.048719	-0.0594896	-0.00646807
0.257566	0.437293	-0.0889678	0.0397997	0.0258733	0.130016	0.0168833
0.460646	0.498449	-0.0974474	0.0410743	-0.0148597	0.123454	-0.0266671
0.303591	0.459808	-0.0144722	0.0126121	-0.0236262	-0.105962	-0.00292468
0.117075	0.32151	0.130142	-0.0364796	0.0358838	-0.0400809	0.0150985
0.0724092	0.259164	0.0261029	-0.025924	0.00254997	-0.0295559	0.0284143
0.0365178	0.187575	0.0316436	-0.0398086	0.0277462	0.040084	0.0117999
0.0152097	0.122386	0.0305498	-0.0485213	0.0425197	0.0367209	-0.00399937
0.0555764	0.229102	0.0172743	-0.0456958	0.023263	-0.0144313	-0.0279778
0.17833	0.38279	0.133436	-0.0474612	0.0495904	-0.0425834	-0.0399385
0.395899	0.489043	-0.0302564	0.0300331	-0.0430458	-0.0849878	-0.0117542
0.344889	0.475332	-0.0939657	0.0423898	-0.0202412	0.118641	0.0586565
0.102462	0.303255	0.11329	-0.0290835	0.0240602	0.0574756	0.0222514
0.19535	0.39647	0.0636739	-0.004638	0.00196131	-0.0526468	-0.00405601
0.248387	0.432078	0.0945629	0.00632141	0.00691676	-0.0369292	-0.00644009
0.282157	0.45005	-0.121525	0.0215628	-0.0335663	-0.031406	-0.00125141
0.161982	0.368434	-0.125824	-0.00344733	0.0086133	0.0905013	-0.00519154
0.0196456	0.138779	0.0251109	-0.0222191	0.0731784	0.0380083	0.036787
0.0558266	0.229586	0.0177865	-0.00198795	0.0649223	-0.0175404	0.0272863
0.126164	0.332034	0.127608	-0.000996605	0.0838878	-0.02972	0.0190615
0.339198	0.473437	-0.00922878	0.0400952	-0.00170092	-0.0887213	0.0119044
0.449834	0.497477	-0.0931632	-0.029871	-0.107033	0.101292	-0.047297
0.0163482	0.126811	0.0407204	-0.0597104	0.035212	0.031179	0.0246993
0.0626282	0.242293	0.0377229	-0.0552341	0.00021658	-0.0252397	0.0188374
0.20894	0.406551	0.155381	-0.0401044	0.0131479	-0.0607679	0.0150136
0.338154	0.473081	-0.0384226	0.039281	-0.0357976	-0.07776	0.000299655
0.36609	0.481734	-0.124151	0.039486	0.0129331	0.131952	-0.0294949
	
